Loading matrix data... DONE [0.25 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 12 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 26 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 4 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 13 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 2 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 23 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 28 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 16 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 5 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 7 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 24 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 21 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 33 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 22 -529.0distancia: 0.0desborde: 23 tiempo: 0.0
Eval 19 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 1 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 15 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 9 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 27 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 11 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 6 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 20 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 18 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 0 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 14 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 17 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 41 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 42 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 40 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 43 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 39 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 38 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 34 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 35 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 46 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 37 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 47 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 36 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 32 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 31 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 3 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 25 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 51 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 30 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 10 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 8 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 2 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 29 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 54 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 55 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 56 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 53 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 52 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 60 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 50 -484.0distancia: 0.0desborde: 22 tiempo: 0.0
Eval 49 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 48 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 45 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 44 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 66 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 65 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 64 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 67 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 63 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 59 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 58 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 71 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 57 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 73 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 72 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 70 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 75 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 68 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 69 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 61 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 62 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 74 -324.0distancia: 0.0desborde: 18 tiempo: 0.0
Eval 76 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
Eval 77 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 78 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 79 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 80 -400.0distancia: 0.0desborde: 20 tiempo: 0.0
Eval 81 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 82 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 85 1.356824334543791E12distancia: 435338.5693359375desborde: 0 tiempo: 2.8770496E7
Eval 83 1.3619353557579229E12distancia: 429428.28125desborde: 0 tiempo: 2.8966462E7
Eval 84 1.3841584312426484E12distancia: 402722.7001953125desborde: 0 tiempo: 2.78852E7
Eval 87 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 86 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 88 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 89 -256.0distancia: 0.0desborde: 16 tiempo: 0.0
Eval 90 1.378006553924055E12distancia: 410289.4716796875desborde: 0 tiempo: 2.8246513E7
Eval 91 1.3459189397628843E12distancia: 447688.580078125desborde: 0 tiempo: 2.9255052E7
Eval 92 1.393203597400171E12distancia: 391331.58203125desborde: 0 tiempo: 2.8871052E7
Eval 93 1.390716952856749E12distancia: 394495.9462890625desborde: 0 tiempo: 2.8610162E7
Eval 94 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 95 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 96 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 97 1.373561908404233E12distancia: 415670.658203125desborde: 0 tiempo: 2.8508256E7
Eval 98 1.3521847195117961E12distancia: 440635.0927734375desborde: 0 tiempo: 2.896584E7
Eval 99 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 100 1.3932429810156987E12distancia: 391281.2587890625desborde: 0 tiempo: 2.795987E7
Eval 101 -225.0distancia: 0.0desborde: 15 tiempo: 0.0
Eval 102 -441.0distancia: 0.0desborde: 21 tiempo: 0.0
Eval 103 1.4029939667529526E12distancia: 378615.9501953125desborde: 0 tiempo: 2.7836065E7
Eval 104 1.3525624610964116E12distancia: 440206.2509765625desborde: 0 tiempo: 2.9086541E7
Eval 105 -361.0distancia: 0.0desborde: 19 tiempo: 0.0
