Loading matrix data... DONE [0.558 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 5 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 1 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 11 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 9 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 3 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 13 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 6 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 5 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 8 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 10 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 4 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 2 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 16 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 15 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 14 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 7 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 0 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 12 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 20 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 18 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 19 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 17 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 22 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 21 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 24 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 23 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 25 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 26 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 27 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 28 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 29 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 30 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 31 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 33 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 32 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 35 1.771638486403547E13distancia: 424755.015625desborde: 0 tiempo: 2.6342189E7
Eval 34 1.779127978364911E13distancia: 324841.3515625desborde: 0 tiempo: 2.629815E7
Eval 36 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 37 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 38 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 39 1.779143414861126E13distancia: 324603.6640625desborde: 0 tiempo: 2.6326299E7
Eval 40 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 41 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 42 1.771605908929314E13distancia: 425138.328125desborde: 0 tiempo: 2.6427295E7
Eval 43 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 44 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 45 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 46 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 47 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 48 1.778805670892246E13distancia: 329765.03515625desborde: 0 tiempo: 2.666914E7
Eval 49 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 50 1.7778377683046746E13distancia: 344127.744140625desborde: 0 tiempo: 2.8434951E7
Eval 51 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 52 1.7716408987986523E13distancia: 424726.6171875desborde: 0 tiempo: 2.6488672E7
Eval 53 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 54 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 55 1.785214649339262E13distancia: 211317.755859375desborde: 0 tiempo: 2.6352057E7
Eval 56 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 57 1.7792621078265426E13distancia: 322770.2109375desborde: 0 tiempo: 2.6436013E7
Eval 58 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 59 1.7790155889776293E13distancia: 326566.681640625desborde: 0 tiempo: 2.6256491E7
Eval 60 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 61 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 62 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 63 1.778894755475895E13distancia: 328411.529296875desborde: 0 tiempo: 2.6419343E7
Eval 64 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 65 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 66 1.778805670892246E13distancia: 329765.03515625desborde: 0 tiempo: 2.666914E7
Eval 67 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 68 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 69 1.7778377683046746E13distancia: 344127.744140625desborde: 0 tiempo: 2.8434951E7
Eval 70 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 71 1.7791042415880797E13distancia: 325206.505859375desborde: 0 tiempo: 2.630731E7
Eval 72 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 73 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 74 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 75 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 76 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 77 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 78 1.7800811898256535E13distancia: 309822.189453125desborde: 0 tiempo: 2.6330837E7
Eval 79 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 80 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 81 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 82 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 83 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 84 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 85 1.77593839965697E13distancia: 370698.787109375desborde: 0 tiempo: 2.8610085E7
Eval 86 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 87 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 88 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 89 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 90 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 91 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 92 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 93 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 94 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 95 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 96 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 97 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 98 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 99 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 100 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 101 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 102 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 103 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 104 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 105 1.7778139856177992E13distancia: 344473.12109375desborde: 0 tiempo: 2.8540715E7
Eval 106 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 107 1.785214649339262E13distancia: 211317.755859375desborde: 0 tiempo: 2.6352057E7
Eval 108 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 109 1.7801483013474562E13distancia: 308737.224609375desborde: 0 tiempo: 2.6250679E7
Eval 110 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 111 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 112 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 113 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 114 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 115 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 116 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 117 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 118 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 119 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 120 1.7760968213363566E13distancia: 368555.794921875desborde: 0 tiempo: 2.8524903E7
Eval 121 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 122 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 123 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 124 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 125 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 126 1.7778139856177992E13distancia: 344473.12109375desborde: 0 tiempo: 2.8540715E7
Eval 127 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 128 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 129 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 130 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 131 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 132 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 133 1.7716408987986523E13distancia: 424726.6171875desborde: 0 tiempo: 2.6488672E7
Eval 134 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 135 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 136 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 137 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 138 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 139 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 140 1.7801483013474562E13distancia: 308737.224609375desborde: 0 tiempo: 2.6250679E7
Eval 141 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 142 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 143 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 144 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 145 1.7800811898256535E13distancia: 309822.189453125desborde: 0 tiempo: 2.6330837E7
Eval 146 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 147 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 148 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 149 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 150 1.7760968213363566E13distancia: 368555.794921875desborde: 0 tiempo: 2.8524903E7
Eval 151 1.77593839965697E13distancia: 370698.787109375desborde: 0 tiempo: 2.8610085E7
Eval 152 1.7790155889776293E13distancia: 326566.681640625desborde: 0 tiempo: 2.6256491E7
Eval 153 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 154 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 155 1.778894755475895E13distancia: 328411.529296875desborde: 0 tiempo: 2.6419343E7
Eval 156 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 157 1.767895522327E13distancia: 466740.0390625desborde: 0 tiempo: 3.0066825E7
Eval 158 1.779143414861126E13distancia: 324603.6640625desborde: 0 tiempo: 2.6326299E7
Eval 159 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 160 -289.0distancia: 0.0desborde: 17 tiempo: 0.0
Eval 161 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 162 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 163 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 164 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 165 1.7792621078265426E13distancia: 322770.2109375desborde: 0 tiempo: 2.6436013E7
Eval 166 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 167 1.771605908929314E13distancia: 425138.328125desborde: 0 tiempo: 2.6427295E7
Eval 168 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 169 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 170 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 171 1.771638486403547E13distancia: 424755.015625desborde: 0 tiempo: 2.6342189E7
Eval 172 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 173 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 174 -169.0distancia: 0.0desborde: 13 tiempo: 0.0
Eval 175 1.779127978364911E13distancia: 324841.3515625desborde: 0 tiempo: 2.629815E7
Eval 176 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 178 1.779127978364911E13distancia: 324841.3515625desborde: 0 tiempo: 2.629815E7
Eval 179 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 177 1.778894755475895E13distancia: 328411.529296875desborde: 0 tiempo: 2.6419343E7
Eval 180 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 181 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 182 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 183 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 184 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 185 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 186 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 187 -100.0distancia: 0.0desborde: 10 tiempo: 0.0
Eval 188 1.7775023016367824E13distancia: 348967.865234375desborde: 0 tiempo: 2.8409286E7
Eval 189 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 190 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 191 1.7791042415880797E13distancia: 325206.505859375desborde: 0 tiempo: 2.630731E7
Eval 192 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 193 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 194 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 195 -196.0distancia: 0.0desborde: 14 tiempo: 0.0
Eval 196 1.7779252029612676E13distancia: 342855.009765625desborde: 0 tiempo: 2.7887181E7
Eval 197 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
