Loading matrix data... DONE [0.754 s]
log4j:WARN No appenders could be found for logger (com.graphhopper.jsprit.core.algorithm.termination.TimeTermination).
log4j:WARN Please initialize the log4j system properly.
log4j:WARN See http://logging.apache.org/log4j/1.2/faq.html#noconfig for more info.
Eval 17 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 28 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 14 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 11 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 21 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 23 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 20 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 25 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 1 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 32 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 12 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 8 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 15 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 19 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 5 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 35 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 38 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 34 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 7 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 0 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 41 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 33 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 43 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 27 -1.0distancia: 0.0desborde: 1 tiempo: 0.0
Eval 44 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 31 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 6 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 4 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 26 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 18 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 30 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 13 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 24 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 3 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 10 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 9 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 22 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 29 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 16 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 2 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 51 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 50 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 49 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 47 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 52 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 48 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 45 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 55 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 46 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 42 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 60 -1.0distancia: 0.0desborde: 1 tiempo: 0.0
Eval 40 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 39 -144.0distancia: 0.0desborde: 12 tiempo: 0.0
Eval 65 -121.0distancia: 0.0desborde: 11 tiempo: 0.0
Eval 37 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 36 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 68 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 67 -1.0distancia: 0.0desborde: 1 tiempo: 0.0
Eval 66 -81.0distancia: 0.0desborde: 9 tiempo: 0.0
Eval 64 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 62 -4.0distancia: 0.0desborde: 2 tiempo: 0.0
Eval 63 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
Eval 61 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 74 -9.0distancia: 0.0desborde: 3 tiempo: 0.0
Eval 59 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 58 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 57 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 56 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 54 -16.0distancia: 0.0desborde: 4 tiempo: 0.0
Eval 53 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 75 -36.0distancia: 0.0desborde: 6 tiempo: 0.0
Eval 73 -49.0distancia: 0.0desborde: 7 tiempo: 0.0
Eval 72 -25.0distancia: 0.0desborde: 5 tiempo: 0.0
Eval 71 -64.0distancia: 0.0desborde: 8 tiempo: 0.0
